trial,class,flips,ns,seed,kem,decap_rc
0,clean,0,15792,123,kyber1024,0
1,clean,0,14708,123,kyber1024,0
2,clean,0,14542,123,kyber1024,0
3,clean,0,14500,123,kyber1024,0
4,clean,0,14542,123,kyber1024,0
5,clean,0,14500,123,kyber1024,0
6,clean,0,14458,123,kyber1024,0
7,clean,0,14375,123,kyber1024,0
8,clean,0,14458,123,kyber1024,0
9,clean,0,14417,123,kyber1024,0
10,clean,0,14333,123,kyber1024,0
11,clean,0,14416,123,kyber1024,0
12,clean,0,14375,123,kyber1024,0
13,clean,0,14417,123,kyber1024,0
14,clean,0,14292,123,kyber1024,0
15,clean,0,14375,123,kyber1024,0
16,clean,0,14333,123,kyber1024,0
17,clean,0,14375,123,kyber1024,0
18,clean,0,14375,123,kyber1024,0
19,clean,0,14334,123,kyber1024,0
20,clean,0,14292,123,kyber1024,0
21,clean,0,14417,123,kyber1024,0
22,clean,0,14375,123,kyber1024,0
23,clean,0,14333,123,kyber1024,0
24,clean,0,14375,123,kyber1024,0
25,clean,0,14375,123,kyber1024,0
26,clean,0,14333,123,kyber1024,0
27,clean,0,14292,123,kyber1024,0
28,clean,0,14417,123,kyber1024,0
29,clean,0,14417,123,kyber1024,0
30,clean,0,14333,123,kyber1024,0
31,clean,0,14375,123,kyber1024,0
32,clean,0,14333,123,kyber1024,0
33,clean,0,14334,123,kyber1024,0
34,clean,0,14375,123,kyber1024,0
35,clean,0,14417,123,kyber1024,0
36,clean,0,14375,123,kyber1024,0
37,clean,0,14334,123,kyber1024,0
38,clean,0,14375,123,kyber1024,0
39,clean,0,14375,123,kyber1024,0
40,clean,0,14208,123,kyber1024,0
41,clean,0,14334,123,kyber1024,0
42,clean,0,14375,123,kyber1024,0
43,clean,0,14292,123,kyber1024,0
44,clean,0,14333,123,kyber1024,0
45,clean,0,14291,123,kyber1024,0
46,clean,0,14292,123,kyber1024,0
47,clean,0,14334,123,kyber1024,0
48,clean,0,14334,123,kyber1024,0
49,clean,0,14291,123,kyber1024,0
50,clean,0,14375,123,kyber1024,0
51,clean,0,14375,123,kyber1024,0
52,clean,0,14375,123,kyber1024,0
53,clean,0,14250,123,kyber1024,0
54,clean,0,14375,123,kyber1024,0
55,clean,0,14292,123,kyber1024,0
56,clean,0,14291,123,kyber1024,0
57,clean,0,14416,123,kyber1024,0
58,clean,0,14333,123,kyber1024,0
59,clean,0,14334,123,kyber1024,0
60,clean,0,14291,123,kyber1024,0
61,clean,0,14292,123,kyber1024,0
62,clean,0,14459,123,kyber1024,0
63,clean,0,14375,123,kyber1024,0
64,clean,0,14333,123,kyber1024,0
65,clean,0,14375,123,kyber1024,0
66,clean,0,14250,123,kyber1024,0
67,clean,0,14292,123,kyber1024,0
68,clean,0,14375,123,kyber1024,0
69,clean,0,14292,123,kyber1024,0
70,clean,0,14250,123,kyber1024,0
71,clean,0,14416,123,kyber1024,0
72,clean,0,14333,123,kyber1024,0
73,clean,0,14375,123,kyber1024,0
74,clean,0,14291,123,kyber1024,0
75,clean,0,14333,123,kyber1024,0
76,clean,0,14375,123,kyber1024,0
77,clean,0,14375,123,kyber1024,0
78,clean,0,14250,123,kyber1024,0
79,clean,0,14375,123,kyber1024,0
80,clean,0,14375,123,kyber1024,0
81,clean,0,14292,123,kyber1024,0
82,clean,0,14333,123,kyber1024,0
83,clean,0,14333,123,kyber1024,0
84,clean,0,14291,123,kyber1024,0
85,clean,0,14292,123,kyber1024,0
86,clean,0,14291,123,kyber1024,0
87,clean,0,14291,123,kyber1024,0
88,clean,0,14333,123,kyber1024,0
89,clean,0,14333,123,kyber1024,0
90,clean,0,14250,123,kyber1024,0
91,clean,0,14291,123,kyber1024,0
92,clean,0,14333,123,kyber1024,0
93,clean,0,14333,123,kyber1024,0
94,clean,0,14333,123,kyber1024,0
95,clean,0,14333,123,kyber1024,0
96,clean,0,14292,123,kyber1024,0
97,clean,0,14292,123,kyber1024,0
98,clean,0,14292,123,kyber1024,0
99,clean,0,14250,123,kyber1024,0
100,clean,0,14333,123,kyber1024,0
101,clean,0,23208,123,kyber1024,0
102,clean,0,15209,123,kyber1024,0
103,clean,0,14500,123,kyber1024,0
104,clean,0,14417,123,kyber1024,0
105,clean,0,14375,123,kyber1024,0
106,clean,0,14292,123,kyber1024,0
107,clean,0,14375,123,kyber1024,0
108,clean,0,14292,123,kyber1024,0
109,clean,0,14292,123,kyber1024,0
110,clean,0,43125,123,kyber1024,0
111,clean,0,14666,123,kyber1024,0
112,clean,0,14291,123,kyber1024,0
113,clean,0,14333,123,kyber1024,0
114,clean,0,14417,123,kyber1024,0
115,clean,0,14291,123,kyber1024,0
116,clean,0,14333,123,kyber1024,0
117,clean,0,14375,123,kyber1024,0
118,clean,0,14292,123,kyber1024,0
119,clean,0,14333,123,kyber1024,0
120,clean,0,14417,123,kyber1024,0
121,clean,0,14292,123,kyber1024,0
122,clean,0,14333,123,kyber1024,0
123,clean,0,58250,123,kyber1024,0
124,clean,0,35125,123,kyber1024,0
125,clean,0,33042,123,kyber1024,0
126,clean,0,15584,123,kyber1024,0
127,clean,0,14792,123,kyber1024,0
128,clean,0,14500,123,kyber1024,0
129,clean,0,14583,123,kyber1024,0
130,clean,0,14541,123,kyber1024,0
131,clean,0,14375,123,kyber1024,0
132,clean,0,14500,123,kyber1024,0
133,clean,0,14458,123,kyber1024,0
134,clean,0,14333,123,kyber1024,0
135,clean,0,14417,123,kyber1024,0
136,clean,0,14458,123,kyber1024,0
137,clean,0,14375,123,kyber1024,0
138,clean,0,14375,123,kyber1024,0
139,clean,0,14375,123,kyber1024,0
140,clean,0,14375,123,kyber1024,0
141,clean,0,14417,123,kyber1024,0
142,clean,0,14375,123,kyber1024,0
143,clean,0,14500,123,kyber1024,0
144,clean,0,14458,123,kyber1024,0
145,clean,0,14458,123,kyber1024,0
146,clean,0,14417,123,kyber1024,0
147,clean,0,14375,123,kyber1024,0
148,clean,0,14458,123,kyber1024,0
