trial,class,flips,ns,seed,kem,decap_rc
0,flipped,4,17459,123,kyber1024,0
1,flipped,4,15666,123,kyber1024,0
2,flipped,4,15458,123,kyber1024,0
3,flipped,4,15333,123,kyber1024,0
4,flipped,4,15541,123,kyber1024,0
5,flipped,4,15375,123,kyber1024,0
6,flipped,4,15333,123,kyber1024,0
7,flipped,4,15292,123,kyber1024,0
8,flipped,4,15292,123,kyber1024,0
9,flipped,4,15333,123,kyber1024,0
10,flipped,4,15292,123,kyber1024,0
11,flipped,4,15333,123,kyber1024,0
12,flipped,4,15583,123,kyber1024,0
13,flipped,4,14250,123,kyber1024,0
14,flipped,4,14250,123,kyber1024,0
15,flipped,4,14250,123,kyber1024,0
16,flipped,4,14250,123,kyber1024,0
17,flipped,4,14334,123,kyber1024,0
18,flipped,4,14291,123,kyber1024,0
19,flipped,4,14375,123,kyber1024,0
20,flipped,4,14291,123,kyber1024,0
21,flipped,4,14250,123,kyber1024,0
22,flipped,4,14291,123,kyber1024,0
23,flipped,4,14291,123,kyber1024,0
24,flipped,4,14292,123,kyber1024,0
25,flipped,4,14334,123,kyber1024,0
26,flipped,4,14250,123,kyber1024,0
27,flipped,4,14250,123,kyber1024,0
28,flipped,4,14292,123,kyber1024,0
29,flipped,4,14292,123,kyber1024,0
30,flipped,4,14292,123,kyber1024,0
31,flipped,4,14291,123,kyber1024,0
32,flipped,4,14292,123,kyber1024,0
33,flipped,4,14208,123,kyber1024,0
34,flipped,4,14292,123,kyber1024,0
35,flipped,4,14208,123,kyber1024,0
36,flipped,4,14292,123,kyber1024,0
37,flipped,4,14292,123,kyber1024,0
38,flipped,4,14292,123,kyber1024,0
39,flipped,4,14250,123,kyber1024,0
40,flipped,4,14292,123,kyber1024,0
41,flipped,4,14291,123,kyber1024,0
42,flipped,4,14292,123,kyber1024,0
43,flipped,4,14250,123,kyber1024,0
44,flipped,4,14334,123,kyber1024,0
45,flipped,4,14291,123,kyber1024,0
46,flipped,4,14250,123,kyber1024,0
47,flipped,4,14291,123,kyber1024,0
48,flipped,4,14250,123,kyber1024,0
49,flipped,4,14291,123,kyber1024,0
50,flipped,4,14250,123,kyber1024,0
51,flipped,4,14250,123,kyber1024,0
52,flipped,4,14291,123,kyber1024,0
53,flipped,4,14333,123,kyber1024,0
54,flipped,4,14250,123,kyber1024,0
55,flipped,4,14292,123,kyber1024,0
56,flipped,4,14291,123,kyber1024,0
57,flipped,4,14292,123,kyber1024,0
58,flipped,4,14250,123,kyber1024,0
59,flipped,4,14250,123,kyber1024,0
60,flipped,4,14334,123,kyber1024,0
61,flipped,4,14333,123,kyber1024,0
62,flipped,4,14333,123,kyber1024,0
63,flipped,4,14334,123,kyber1024,0
64,flipped,4,14333,123,kyber1024,0
