N,a,n_count,shots,top_bits,phase,r,p,q,success,elapsed_s
15,7,8,16384,11110111,0.96484375,15,None,None,0,0.101028
15,11,8,16384,11110111,0.96484375,15,None,None,0,0.084534
15,13,8,16384,10101010,0.66406250,3,None,None,0,0.073955
15,7,8,16384,11110111,0.96484375,15,None,None,0,0.095016
15,11,8,16384,10110011,0.69921875,10,3,5,1,0.081589
15,7,8,16384,10111011,0.73046875,15,None,None,0,0.097511
15,11,8,16384,10111011,0.73046875,15,None,None,0,0.089890
15,13,8,16384,11111111,0.99609375,1,None,None,0,0.076937
15,2,8,16384,10111011,0.73046875,15,None,None,0,0.087016
15,4,8,16384,01010101,0.33203125,3,None,None,0,0.078454
15,8,8,16384,11110111,0.96484375,15,None,None,0,0.091682
